Title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher,Comments
variety comics,1,NM,$10.00 ,8.5,W , ,1944,Croydon,
variety comics,2,VG,$3.00 ,,,,1945,Croydon,
variety comics,3,NM+,$7.00 ,9.2,OW-W , ,1946,Croydon,
vault of horror,16,G,$15.00 ,,,,1950,E.C.,
vault of horror,19,VG,$24.00 ,,,,1951,E.C.,
vault of horror,21,VG,$20.00 ,,,,1951,E.C.,
vault of horror,22,VG,$20.00 ,,,,1951,E.C.,
vault of horror,30,VG,$20.00 ,,,,1953,E.C.,
vault of horror,34,FN,$20.00 ,,,,1953,E.C.,
v-comics,1,NM,$115.00 ,,,,1942,Fox,
v-comics,2,NM,$80.00 ,,,,1942,Fox,
venus,2,NM,$35.00 ,,,,1948,Timely,
venus,4,VG,$15.00 ,,,,1949,Timely,
venus,5,FN,$24.00 ,,,,1949,Timely,
venus,6,VG,$18.00 ,,,,1949,Timely,
venus,8,NM,$35.00 ,,,,1950,Timely,
venus,9,FN,$24.00 ,,,,1950,Timely,
venus,10,NM+,$45.00 ,,,,1950,Timely,
venus,11,NM,$35.00 ,,,,1950,Timely,
venus,12,VG,$18.00 ,,,,1951,Timely,
venus,14,FN,$24.00 ,,,,1951,Timely,
venus,16,G,$8.00 ,,,,1951,Timely,
venus,19,NM+,$45.00 ,,,,1952,Timely,
veri best shot,1,FN,$20.00 ,,,,1945,Holyoke,
vic flint,1,NM,$8.00 ,9,OW-W , ,1948,St. John,
vic flint,2,NM,$5.00 ,,,,1948,St. John,
vic jordan,1,NM+,$7.00 ,9.4,OW-W ,Only Issue ,1945,Civil Service Publications,
vic torry & his flying saucer (1950),NN,NM,$15.00 ,,,,1950,Fawcett,
vic verity,1,NM,$6.00 ,,,,1945,Verity,
vic verity,2,NM+,$5.00 ,,,,1946,Verity,
vic verity,3,NM+,$5.00 ,9.4,,,1946,Verity,
vic verity,4,NM+,$5.00 ,,,,1946,Verity,
vic verity,5,NM+,$5.00 ,,,,1946,Verity,
vic verity,7,NM,$4.00 ,,,,1946,Verity,
vicky,5,FN,$3.00 ,,,,1949,Ace Magazines,
vicky (10/48),NN,VG,$2.00 ,,,,1948,Ace Magazines,
vicky (12/48),NN,VG,$2.00 ,,,,1948,Ace Magazines,
vicky (4/49),NN,NM+,$5.00 ,,,,1949,Ace Magazines,
victory,2,NM+,$65.00 ,,,,1941,Hillman,
victory,3,NM+,$55.00 ,9.4,OW-W , ,1941,Hillman,
victory,4,NM+,$55.00 ,,,,1941,Hillman,
vigilantes (fc),839,NM+,$5.00 ,,,,1957,Dell,
vooda,20,NM,$4.00 ,,,,1955,Farrell,
vooda,21,NM,$4.00 ,,,,1955,Farrell,
voodoo,1,NM+,$6.00 ,,,,1952,Farrell,
voodoo,2,FN,$3.00 ,,,,1952,Farrell,
voodoo,3,FN,$3.00 ,,,,1952,Farrell,
voodoo,4,NM,$7.00 ,,,,1952,Farrell,
voodoo,5,NM,$7.00 ,,,,1953,Farrell,
voodoo,6,NM,$7.00 ,,,,1953,Farrell,
voodoo,7,NM,$7.00 ,,,,1953,Farrell,
voodoo,8,FN,$3.00 ,,,,1953,Farrell,
voodoo,9,FN,$3.00 ,,,,1953,Farrell,
voodoo,10,FN,$3.00 ,,,,1953,Farrell,
voodoo annual,NN,FN,$4.00 ,,,,1952,Farrell,
wagon train,5,NM+,$5.00 ,,,,1960,Dell,
wagon train,7,NM,$4.00 ,,,,1960,Dell,
wagon train (fc),895,NM,$4.00 ,,,,1958,Dell,
wagon train (fc),971,NM+,$5.00 ,,,,1959,Dell,
wagon train (fc),1019,NM+,$5.00 ,,,,1959,Dell,
walt disney presents,3,NM+,$5.00 ,,,,1960,Dell,
walt disney presents (fc),997,NM+,$5.00 ,,,,1959,Dell,
wambi,1,NM+,$60.00 ,,,,1942,Fiction House,
wambi,2,NM+,$15.00 ,,,,1942,Fiction House,
wambi,3,NM+,$15.00 ,,,,1943,Fiction House,
wambi,4,NM+,$12.00 ,,,,1948,Fiction House,
wambi,5,NM+,$10.00 ,,,,1949,Fiction House,
wambi,6,NM+,$10.00 ,,,,1950,Fiction House,
wambi,7,NM+,$10.00 ,,,,1950,Fiction House,
wambi,8,NM+,$10.00 ,,,,1950,Fiction House,
wambi,9,NM,$7.00 ,,,,1950,Fiction House,
wambi,10,NM+,$10.00 ,,,,1950,Fiction House,
wambi,11,NM+,$8.00 ,,,,1951,Fiction House,
wambi,12,NM+,$8.00 ,,,,1951,Fiction House,
wambi,14,NM+,$8.00 ,,,,1951,Fiction House,
wambi,15,NM+,$8.00 ,,,,1952,Fiction House,
wambi,17,FN,$4.00 ,,,,1952,Fiction House,
wambi,18,G,$2.00 ,,,,1952,Fiction House,
wanted,9,NM+,$5.00 ,,,,1947,Orbit,
wanted,10,NM+,$5.00 ,,,,1947,Orbit,
wanted,11,NM+,$5.00 ,,,,1948,Orbit,
wanted,12,NM+,$12.00 ,,,,1948,Orbit,
wanted,13,NM+,$5.00 ,9.4,OW-W , ,1948,Orbit,
wanted,14,NM+,$5.00 ,,,,1948,Orbit,
wanted,15,NM+,$5.00 ,,,,1948,Orbit,
wanted,16,NM+,$7.00 ,,,,1948,Orbit,
wanted,17,FN,$3.00 ,,,,1949,Orbit,
wanted,19,NM+,$5.00 ,,,,1949,Orbit,
wanted,20,NM+,$5.00 ,,,,1949,Orbit,
wanted,21,NM+,$5.00 ,,,,1949,Orbit,
wanted,22,NM+,$5.00 ,,,,1949,Orbit,
wanted,24,VG,$2.00 ,,,,1950,Orbit,
wanted,25,VG,$2.00 ,,,,1950,Orbit,
wanted,26,NM,$2.00 ,,,,1950,Orbit,
wanted,27,FN,$3.00 ,,,,1950,Orbit,
wanted,28,NM+,$5.00 ,,,,1950,Orbit,
wanted,30,FN,$3.00 ,,,,1950,Orbit,
wanted,31,NM+,$5.00 ,,,,1950,Orbit,
wanted,32,G,$2.00 ,,,,1950,Orbit,
wanted,34,NM,$4.00 ,,,,1951,Orbit,
wanted,35,VG,$2.00 ,,,,1951,Orbit,
wanted,36,FN,$3.00 ,,,,1951,Orbit,
wanted,37,FN,$3.00 ,,,,1951,Orbit,
wanted,39,VG,$2.00 ,,,,1951,Orbit,
wanted,40,FN,$3.00 ,,,,1951,Orbit,
wanted,41,NM,$4.00 ,,,,1951,Orbit,
wanted,44,FN,$3.00 ,,,,1952,Orbit,
wanted,46,G,$2.00 ,,,,1952,Orbit,
wanted,48,VG,$2.00 ,,,,1952,Orbit,
wanted,50,VG,$2.00 ,,,,1952,Orbit,
wanted: dead or alive (fc 1102),1102,NM+,$5.00 ,,,,1960,Dell,
war,3,VG,$2.00 ,,,,,#N/A,Can't be the Dell series since War Stories is also listed below. Remains unIDed.
war,4,G,$2.00 ,,,,,#N/A,
war,7,VG,$2.00 ,,,,,#N/A,
war against crime,11,PR/FR,$10.00 ,,,,1950,E.C.,
war comics,1,NM,$22.00 ,,,,1950,Timely,
war comics,2,NM,$13.00 ,,,,1951,Timely,
war comics,3,NM+,$17.00 ,,,,1951,Timely,
war comics,4,FN,$10.00 ,,,,1951,Timely,
war comics,5,FN,$10.00 ,,,,1951,Timely,
war heroes,1,VG,$6.00 ,,,,1942,Dell,
war heroes,3,VG,$4.00 ,,,,1943,Dell,
war heroes,5,VG,$4.00 ,,,,1943,Dell,
war heroes,6,VG,$4.00 ,,,,1943,Dell,
war heroes,7,NM+,$5.00 ,9.6,OW , ,1944,Dell,
war heroes,9,NM+,$5.00 ,,,,1944,Dell,
war stories,7,NM,$11.00 ,,,,1942,Dell,
war stories,8,NM+,$16.00 ,,,,1943,Dell,
war victory,3,NM,$10.00 ,,,,1943,Harvey ,
warfront,1,NM,$5.00 ,,,,1951,Harvey ,
warfront,2,FN,$3.00 ,,,,1951,Harvey ,
warfront,4,FN,$3.00 ,,,,1952,Harvey ,
warfront,5,NM,$4.00 ,,,,1952,Harvey ,
warrior comics,1,NM,$6.00 ,,,,1945,Blackerby,
wartime romances,1,NM+,$8.00 ,,,,1951,St. John,
wartime romances,2,NM+,$5.00 ,,,,1951,St. John,
wartime romances,3,NM+,$5.00 ,,,,1951,St. John,
wartime romances,4,NM+,$5.00 ,,,,1952,St. John,
wartime romances,5,NM,$4.00 ,,,,1952,St. John,
wartime romances,6,NM,$6.00 ,,,,1952,St. John,
wartime romances,7,NM,$4.00 ,,,,1952,St. John,
wartime romances,8,VG,$2.00 ,,,,1952,St. John,
wartime romances,9,FN,$3.00 ,,,,1952,St. John,
wartime romances,10,FN,$3.00 ,,,,1952,St. John,
wartime romances,11,FN,$5.00 ,,,,1952,St. John,
wartime romances,12,VG,$2.00 ,,,,1952,St. John,
wartime romances,13,FN,$3.00 ,,,,1953,St. John,
wartime romances,14,FN,$3.00 ,,,,1953,St. John,
wartime romances,15,VG,$2.00 ,,,,1953,St. John,
wartime romances,16,VG,$2.00 ,,,,1953,St. John,
wash tubbs (fc),28,NM+,$60.00 ,,,,1943,Dell,
wash tubbs (fc),53,NM+,$35.00 ,,,,1944,Dell,
water birds (fc),700,FN,$3.00 ,,,,1956,Dell,
web evil,1,FN,$7.00 ,,,,1952,Quality,
web evil,2,VG,$3.00 ,,,,1953,Quality,
web evil,3,FN,$4.00 ,,,,1953,Quality,
web evil,4,VG,$3.00 ,,,,1953,Quality,
web evil,5,FN,$4.00 ,,,,1953,Quality,
web evil,7,FN,$4.00 ,,,,1953,Quality,
web of mystery,1,VG,$3.00 ,,,,1951,Ace Magazines,
web of mystery,2,FN,$5.00 ,,,,1951,Ace Magazines,
web of mystery,3,NM,$4.00 ,,,,1951,Ace Magazines,
web of mystery,4,NM+,$5.00 ,,,,1951,Ace Magazines,
web of mystery,5,NM+,$5.00 ,,,,1951,Ace Magazines,
web of mystery,6,NM,$4.00 ,,,,1951,Ace Magazines,
web of mystery,7,NM,$4.00 ,,,,1952,Ace Magazines,
web of mystery,8,FN,$3.00 ,,,,1952,Ace Magazines,
web of mystery,9,FN,$3.00 ,,,,1952,Ace Magazines,
web of mystery,10,FN,$3.00 ,,,,1952,Ace Magazines,
web of mystery,11,NM+,$5.00 ,,,,1952,Ace Magazines,
web of mystery,12,FN,$3.00 ,,,,1952,Ace Magazines,
web of mystery,13,FN,$3.00 ,,,,1952,Ace Magazines,
web of mystery,14,VG,$3.00 ,,,,1952,Ace Magazines,
web of mystery,15,FN,$2.00 ,,,,1952,Ace Magazines,
web of mystery,16,FN,$3.00 ,,,,1952,Ace Magazines,
web of mystery,18,FN,$3.00 ,,,,1953,Ace Magazines,
